Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 22 
block_start,block_end,average_distance
1,23,0.49130450890685795
2,24,0.4719148034715467
3,25,0.4055327775413424
4,26,0.49099292087183855
Layer 3 to 25 is the best block to prune.
