Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 17 
block_start,block_end,average_distance
1,18,0.4863153004924611
2,19,0.4671236624513619
3,20,0.4004376481943093
4,21,0.20627056671023833
5,22,0.15933263162694553
6,23,0.13471432696984437
7,24,0.12186975145154426
8,25,0.11429521731365516
9,26,0.49506588946984437
Layer 8 to 25 is the best block to prune.
