Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 13 
block_start,block_end,average_distance
1,14,0.47882863798030156
2,15,0.45903472306663423
3,16,0.3920589699355545
4,17,0.19244503511065175
5,18,0.14977029882052528
6,19,0.1296935322683609
7,20,0.11404953299793288
8,21,0.1101603823413181
9,22,0.09962778054322714
10,23,0.0967979579584144
11,24,0.09829355677741974
12,25,0.0951928758435676
13,26,0.49082810220087547
Layer 12 to 25 is the best block to prune.
