Analysis of Layer Similarities for gemma_1b 
Number of Layers to Skip : 18 
block_start,block_end,average_distance
1,19,0.4875008549671693
2,20,0.4680218529608463
3,21,0.40207158545111865
4,22,0.20747488296449415
5,23,0.16020303570342898
6,24,0.13710645386217168
7,25,0.12126272476136916
8,26,0.49232809460116733
Layer 7 to 25 is the best block to prune.
