Analysis of Layer Similarities for facebook_opt 
Number of Layers to Skip : 2 
block_start,block_end,average_distance
1,3,0.15702438354492188
2,4,0.13281536102294922
3,5,0.13030147552490234
4,6,0.14066314697265625
5,7,0.143341064453125
6,8,0.1430225372314453
7,9,0.1590290069580078
8,10,0.1764507293701172
9,11,0.1938629150390625
10,12,0.21426963806152344
Layer 3 to 5 is the best block to prune.
